Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\RelayCommand.cs	18	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Data\AppDbContext.cs	97	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Data\AppDbContext.cs	98	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Data\AppDbContext.cs	99	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Data\AppDbContext.cs	100	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	242	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	243	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\CategoriesViewModel.cs	277	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	287	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ViewModelBase.cs	11	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ViewModelBase.cs	16	
Warning (active)	CS8629	Nullable value type may be null.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\AlertService.cs	99	
Warning (active)	CS8629	Nullable value type may be null.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	222	
Warning (active)	CS8629	Nullable value type may be null.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	472	
Warning (active)	CS8629	Nullable value type may be null.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\CategoriesViewModel.cs	165	
